Coin,Name
NORD,Nord Finance
MEDA,Medacoin
1-UP,1-UP Platform
BIX,Bibox Token
ARCONA,Arcona
YOP,Yield Optimization Platform & Protocol
CAJ,Cajutel
PAI,Project Pai
MINTME,MintMe.com Coin
BTX,BitCore
UMB,Umbrella Network
CCX,Conceal
LAYER,UniLayer
BLOCK,Blocknet
RPG,Revolve Games
ATT,Attila
SLT,Smartlands Network
BOTTO,Botto
XCHF,CryptoFranc
TFBX,TrueFeedBack
KICK,KickToken
CONV,Convergence
FEVR,RealFevr
OIN,OIN Finance
YUSRA,YUSRA
SMARTCREDIT,SmartCredit Token
ONX,ownix
ARMOR,ARMOR
CVT,CyberVein
EUNO,EUNO
ONION,DeepOnion
USF,Unslashed Finance
TKING,Tiger King Coin
TCC,The ChampCoin
BIRD,Bird.Money
CRON,Cryptocean
OMNI,Omni
IMT,Moneytoken
CFi,CyberFi Token
CUT,CUTcoin
BMON,Binamon
MASQ,MASQ
ALY,ALLY
HPB,High Performance Blockchain
BLANK,BlockWallet
CPT,Cryptaur
AXPR,AXPR
PLR,Pillar
NABOX,Nabox
VIN,VINchain
HBX,HashBX
TFL,TFL.io
BBS,BBS Network
MAN,Matrix AI Network
DNA,Metaverse Dualchain Network Architecture
EZ,EasyFi
BMI,Bridge Mutual
DIME,Dimecoin
DAX,DAEX
IDNA,Idena
EXM,EXMO Coin
PEPS,PEPS Coin
FTC,Feathercoin
EDEN,Eden
OPEN,OpenWorld
DOSE,DOSE
SHOPX,SHOPX
STRONG,Strong
FINE,Refinable
YAE,Cryptonovae
SPC,SpaceChain
GHOST,GHOSTPRISM
DEC,Decentr
HYVE,Hyve
DYP,DeFi Yield Protocol
PUT,PUTinCoin
PLAY,HEROcoin
PETS,MicroPets
INEX,Inex Project
NYC,NewYorkCoin
UDO,Unido EP
TEER,Integritee Network
BOX,ContentBox
GTH,Gather
EDG,Edgeless
NFTI,NFT Index
BIN,Binemon
RET,RealTract
NLG,Gulden
BRKL,Brokoli Network
$ANRX,AnRKey X
LOWB,Loser Coin
ORION,Orion Money
KINGSHIB,King Shiba
BOLLY,BollyCoin
EGT,Egretia
FEAR,Fear
BLT,Bloom
EQZ,Equalizer
MTC,DOC.COM
XY,XY Finance
HGET,Hedget
eRSDL,unFederalReserve
XIO,Blockzero Labs
IF,Impossible Finance
UNISTAKE,Unistake
COMBO,Furucombo
OLY,Olyseum
RAZOR,Razor Network
HVN,Hiveterminal Token
OCTO,OctoFi
PAT,Patron
PWR,PWR Coin
UBQ,Ubiq
SKU,Sakura
INT,INT
NINO,Ninneko
XPM,Primecoin
YEC,Ycash
ARG,Argentine Football Association Fan Token
NRP,Neural Protocol
VNXLU,VNX
QLC,QLC Chain
CRD,CRD Network
VIA,Viacoin
KT,Kuai Token
WAG,WagyuSwap
KABY,Kaby Arena
CYC,Cyclone Protocol
SYNC,SYNC Network
ZUSD,ZUSD
ROCO,ROCO FINANCE
DINU,Dogey-Inu
HOT,Hydro Protocol
VEX,Vexanium
HORD,Hord
ETHPAD,ETHPad
UMX,UniMex Network
BONDLY,Forj(Bondly)
PKR,Polker
SPWN,Bitspawn
MIST,Mist
HZN,Horizon Protocol
SNY,Synthetify
ZAP,Zap
STAK,Jigstack
XAUR,Xaurum
POA,POA Network
GIO,Graviocoin
KEX,Kira Network
KGO,KIWIGO
PVU,Plant Vs Undead
LIFE,Life Crypto
CSM,Crust Shadow
VIBE,VIBE
PBX,Paribus
DPET,My DeFi Pet
BBANK,blockbank
HANDY,Handy
PPAY,Plasma Finance
HTML,HTMLCOIN
EDN,Eden
GOZ,Göztepe S.K. Fan Token
CHESS,ChessCoin
EXRN,EXRNchain
LOCG,LOCGame
YOU,YOU COIN
CTI,ClinTex CTi
WSG,Wall Street Games
IGG,IG Gold
EMC,Emercoin
WOOF,WOOF
DOUGH,PieDAO DOUGH v2
WOW,WOWswap
XSN,Stakenet
EFL,e-Gulden
PAWTH,Pawthereum
XHI,HiCoin
LIGHT,Lightning
TCP,The Crypto Prophecies
TOWER,TOWER
ASTRO,AstroSwap
BUY,Burency
LANC,Lanceria
CND,Cindicator
CPC,CPChain
YFL,YF Link
HNST,Honest
GIG,Krios
DUCK,Duck DAO (DLP Duck Token)
GNY,GNY
UAXIE,Unicly Mystic Axies Collection
FJC,FujiCoin
SENATE,SENATE
XNL,Chronicle
AIT,AICHAIN
TYC,Tycoon
SOLX,Soldex
LBA,Cred
STPL,Stream Protocol
OPIUM,Opium
FAM,Famcentral
AZ,Azbit
SHARD,Shard
LBTC,Lightning Bitcoin
GLQ,Graphlinq Protocol
EFX,Effect Network
DDOS,disBalancer
DTX,Databroker
SWRV,Swerve
GLEEC,Gleec
BLKC,BlackHat
OWC,Oduwacoin
BIS,Bismuth
TXL,Autobahn Network
SMART,SmartCash
ORS,Origin Sport
8PAY,8PAY
BLK,BlackCoin
AME,AME Chain
ZER,Zero
LET,LinkEye
XCASH,X-CASH
DAPP,LiquidApps
RAVEN,Raven Protocol
CHADS,CHADS VC
SILVA,Silva Token
BID,TopBidder
MEME,Memetic / PepeCoin
KAMPAY,KamPay
LUFC,Leeds United Fan Token
NFT,NFT
WHITE,Whiteheart
CV,carVertical
FAIR,FairGame
SONO,SonoCoin
WATCH,yieldwatch
CMERGE,CoinMerge (ERC-20)
MAX,MAX Exchange Token
DRF,DRIFE
RYO,Ryo Currency
TTN,Titan Coin
LINKA,LINKA
CMERGE,CoinMerge (BEP-20)
POR,Portugal National Team Fan Token
GLC,Goldcoin
FST,1irstcoin
EVRY,EVRYNET
WPR,WePower
HMQ,Humaniq
PTF,PowerTrade Fuel
BUY,Buying.com
DIT,Digital Insurance Token
PMA,PumaPay
KART,Dragon Kart
URQA,UREEQA
XRC,xRhodium
HAKKA,Hakka.Finance
MENGO,Flamengo Fan Token
HUSH,Hush
SRN,SIRIN LABS Token
XLA,Scala
ZDR,Zloadr
MCM,Mochimo
YETIC,YetiCoin
BANKER,BankerDoge
SUMO,Sumokoin
LND,Lendingblock
AEON,Aeon
ETGP,Ethereum Gold Project
STA,STATERA
LAUNCH,SuperLauncher
GSC,Global Social Chain
PROS,Prosper
QRK,Quark
TRADE,Polytrade
PPP,PayPie
NCash,Nitro Network
RHYTHM,Rhythm
QDAO,Q DAO Governance token v1.0
FIN,DeFiner
SWM,Swarm
OCN,Odyssey
XMV,MoneroV 
XPC,eXPerience Chain
XCUR,Curate
HEC,Heroes Chained
IDEA,Ideaology
MND,Mind Music
UFR,Upfiring
DNXC,DinoX
CSP,Caspian
MYRA,Mytheria
VISION,VisionGame
AMON,AmonD
MARSH,UnMarshal
FXF,Finxflo
TERC,TronEuropeRewardCoin
ITC,IoT Chain
BTB,BitBall
SCCP,S.C. Corinthians Fan Token
BLAST,SafeBlast
XSR,Xensor
CAPP,Cappasity
BGL,Bitgesell
GLS,Golos Blockchain
UBXS,UBXS Token
XAMP,Antiample
BIST,Bistroo
GVT,Genesis Vision
LANA,LanaCoin
KNDC,KanadeCoin
RAZE,Raze Network
VIG,VIG
CORN,Cornichon
CRWNY,Crowny
DAV,DAV Coin
TUP,TenUp
TKY,THEKEY
HELMET,Helmet.insure
CRBN,Carbon
NAX,NextDAO
PLSPAD,PulsePad
ESBC,ESBC
UTU,UTU Protocol
BOB,Bob's Repair
IBFK,İstanbul Başakşehir Fan Token
POLIS,Polis
SIN,SINOVATE
PERI,PERI Finance
CANN,CannabisCoin
STND,Standard Protocol
LKR,Lokr
CORA,Corra.Finance
AG8,AtromG8
FCL,Fractal
DAC,Davinci Coin
FYD,FYDcoin
IXC,Ixcoin
VSO,Verso
XPD,PetroDollar
PLF,PlayFuel
RBLX,Rublix
S4F,S4FE
PWAR,PolkaWar
UDOO,Hyprr
PRCY,PRivaCY Coin
COR,Coreto
RHT,Reward Hunters Token
CNTR,Centaur
BPS,BitcoinPoS
METAX,MetaverseX
ASKO,ASKO
DMG,DMM: Governance
GTC,Game.com
GOT,ParkinGo
ZOON,CryptoZoon
PROPS,Props Token
KKO,Kineko
LZ,LaunchZone
AM,Aston Martin Cognizant Fan Token
PXL,PIXEL
GCC,Global Cryptocurrency
ESS,Essentia
NAFT,Nafter
1X2,1X2 COIN
FSW,Falconswap
BCUBE,B-cube.ai
CURE,Curecoin
VDL,Vidulum
TRTL,TurtleCoin
SWACE,Swace
TRIO,Tripio
BANK,Float Protocol (Bank)
DINO,DinoSwap
EFC,Everton Fan Token
NEXT,ShopNEXT
SNB,SynchroBitcoin
XTP,Tap
XDN,DigitalNote
SNET,Snetwork
RXS,Rune Shards
1EARTH,EarthFund
UMASK,Unicly Hashmasks Collection
FUND,Unification
GDAO,Governor DAO
ZEFU,Zenfuse
UCA,UCA Coin
POT,PotCoin
CANDY,TripCandy
VNLA,Vanilla Network
TRTT,Trittium
OCE,OceanEx Token
AITRA,Aitra
SMT,Swarm Markets
XCV,XCarnival
FYP,FlypMe
REDPANDA,Redpanda Earth
TAP,Tapmydata
YOYOW,YOYOW
LBP,Launchblock.com
RUFF,Ruff
AIRT,AirNFTs
DEB,Debitum
DESU,Dexsport
SEEN,SEEN
TIPS,FedoraCoin
AVL,Aston Villa Fan Token
FNT,Falcon Project
IETH,iEthereum
CAT,Cat Token
DEV,Dev Protocol
UIP,UnlimitedIP
MAT,My Master War
PEOS,pEOS
HGOLD,HollyGold
NCDT,Nuco.cloud
SXUT,Spectre.ai Utility Token
OPEN,Open Platform
DGX,Digix Gold Token
GOF,Golff
FTX,FintruX Network
WNT,Wicrypt
NIOX,Autonio
DOP,Drops Ownership Power
XMY,Myriad
CHX,WeOwn
SKM,Skrumble Network
MTN,Medicalchain
PHNX,PhoenixDAO
TYPE,Typerium
SAUBER,Alfa Romeo Racing ORLEN Fan Token
ADM,ADAMANT Messenger
TRADE,Unitrade
GEN,DAOstack
KTON,Darwinia Commitment Token
HOMI,HOMIHELP
SMLY,SmileyCoin
WINGS,Wings
BUZZ,BUZZCoin
vBCH,Venus BCH
STM,Streamity
VIKKY,VikkyToken
DYN,Dynamic
TRAVA,TRAVA.FINANCE
RUNE,Rune
BHO,BHO Network
TRC,Terracoin
MXX,Multiplier
YBO,Young Boys Fan Token
BXC,BonusCloud
GALO,Clube Atlético Mineiro Fan Token
RAINBOW,Rainbow Token
DOM,Ancient Kingdom
SYP,Sypool
ELAMA,Elamachain
EVED,Evedo
TIDAL,Tidal Finance
LCS,LocalCoinSwap
ACCEL,ACCEL
PINK,Pinkcoin
XTAG,xHashtag DAO
SOUL,CryptoSoul
WTF,Waterfall DeFi
CRW,Crown
TELOS,Teloscoin
UBEX,Ubex
ACM,Actinium
LEDU,Education Ecosystem
PXC,Phoenixcoin
CLR,Color Platform
POLI,Polinate
JRT,Jarvis Network
KRB,Karbo
FORM,Formation Fi
SUB,Substratum
GFI,Gravity Finance
EDR,Endor Protocol
GOLD,Golden Goose
TAD,Tadpole Finance
DEPAY,DePay
HTZ,Hertz Network
FINA,Defina Finance
IXT,IXT
SETH,Sether
APYS,APYSwap
XDOGE,ClassicDoge
BECN,Beacon
SPFC,Sao Paulo FC Fan Token
KCASH,Kcash
QCH,QChi
SMG,Smaugs NFT
BASE,Base Protocol
LXT,Litex
GENESIS,Genesis Worlds
EBST,eBoost
2CRZ,2crazyNFT
X8X,X8X Token
HIT,HitChain
BCA,Bitcoin Atom
D,Denarius
DOS,DOS Network
IBP,Innovation Blockchain Payment
CHEEMS,Cheems
DVC,DragonVein
OST,OST
EVX,Everex
PIN,Public Index Network
FF,Forefront
MAKI,MakiSwap
ARES,Ares Protocol
DHV,DeHive
BZNT,Bezant
LEPA,Lepasa
NBOT,Naka Bodhi Token
COOK,Cook Finance
XST,Stealth
SPHTX,SophiaTX
DOGEC,DogeCash
HTDF,Orient Walt
ROCKI,ROCKI
XPN,PANTHEON X
CRE8,Creaticles
RENA,Warena
PUPPY,Shar Pei
SPORE,Spore
VEIL,Veil
GARD,Hashgard
PAK,Pakcoin
RNT,OneRoot Network
NDX,Indexed Finance
PAINT,MurAll
VNT,VNT Chain
BOMB,BOMB
SNOW,SnowSwap
VGW,VegaWallet Token
ZCL,ZClassic
XPNET,XP NETWORK
DACS,DACSEE
SIGN,Signature Chain
BLINK,BLink
XMX,XMax
DTA,DATA
ACK,AcknoLedger
OKS,Oikos
BXY,Beaxy
BLUE,Blue Protocol
PST,Primas
CFL,CryptoFlow
BITS,Bitswift
DEAL,iDealCash
OK,OKCash
AYA,Aryacoin
ADD,Add.xyz
SAM,Samsunspor Fan Token
SFX,SUBX FINANCE LAB
FACE,Faceter
LDOGE,LiteDoge
CLS,Coldstack
ΤBTC,τBitcoin
STV,Sint-Truidense Voetbalvereniging Fan Token
RVC,Ravencoin Classic
STBU,Stobox Token
SPO,Spores Network
AMA,Mrweb Finance
WISH,MyWish
MDS,MediShares
PAD,NearPad
MOTO,Motocoin
UUU,U Network
SHIBX,SHIBAVAX
BAC,Basis Cash
SHIP,ShipChain
KANGAL,Kangal
CRP,CropperFinance
CERES,Ceres
DOWS,Shadows
PHT,Lightstreams
THC,HempCoin
ATP,Atlas Protocol
PFL,Professional Fighters League Fan Token
AUC,Auctus
APPC,AppCoins
EBA,Elpis Battle
LML,Link Machine Learning
CNTM,Connectome
TERA,TERA
SAKE,SakeToken
PHI,PHI Token
LFW,Legend of Fantasy War
NEXT,NEXT
MUE,MonetaryUnit
ETHYS,Ethereum Stake
TCH,TigerCash
PCNT,Playcent
APL,Apollon Limassol
GSAIL,SolanaSail Governance Token
BHD,BitcoinHD
AIRI,aiRight
EOSDAC,eosDAC
CUMSTAR,CumStar
DYNA,Dynamix
PAR,Parachute
BNU,ByteNext
ROYA,Royale Finance
BEER,Beer Money
MNTP,GoldMint
LEAD,Lead Wallet
XBC,Bitcoin Plus
MANNA,Manna
CTT,CryptoTycoon
LOOT,LootBox.io
BID,DeFi Bids
NAVI,Natus Vincere Fan Token
RELI,Relite Finance
CRX,CryptEx
BEM,BEMIL Coin
BZE,BZEdge
KTLYO,Katalyo
MNE,Minereum
STEP,Step Finance
MVP,Merculet
HTN,Heart Number
BRY,Berry Data
BATH,Battle Hero
PGN,Pigeoncoin
OGO,Origo
LYNC,LYNC Network
COT,CoTrader
HYDRO,Hydro
CPO,Cryptopolis
SDT,Stake DAO
SUB,Subme
BXX,Baanx
ALN,Aluna.Social
DWEB,DecentraWeb
CHAT,ChatCoin
KOBO,Kobocoin
ASAP,Chainswap
DRC,Dracula Token
HYC,HYCON
DDD,Scry.info
VLXPAD,VelasPad
FUEL,Etherparty
AMN,Amon
FRKT,FRAKT Token
ELEC,Electrify.Asia
N1,NFTify
DTH,Dether
CNS,Centric Swap
N8V,NativeCoin
DRT,DomRaider
LDFI,Lendefi
TIP,SugarBounce
SCC,SiaCashCoin
WG0,Wrapped Gen-0 CryptoKitties
ROOM,OptionRoom
TSX,TradeStars
KP4R,Keep4r
CLAM,OtterClam Finance
NYZO,Nyzo
RED,RED
DVP,Decentralized Vulnerability Platform
TOL,Tolar
HTD,HeroesTD
eYe,MeDIA eYe NFT Portal
OSWAP,OpenSwap
NUX,Peanut
RISE,Rise
CSPN,Crypto Sports
EXE,8X8 PROTOCOL
ELAND,Etherland
FOC,TheForce Trade
ETNA,ETNA Network
ZENI,Zennies
TRST,WeTrust
WSPP,Wolf Safe Poor People
OCT,OracleChain
YEE,YEE
FLIXX,Flixxo
MOWA,Moniwar
ADC,AudioCoin
STAR,Starbase
ATMOS,Atmos
GPYX,GoldenPyrex
RATING,DPRating
GS,Genesis Shards
GLINT,Beamswap
NRV,Nerve Finance
SET,Save Environment Token
MBC,MicroBitcoin
PASC,Pascal
KNIGHT,Forest Knight
BTO,Bottos
RIO,Realio Network
LOBS,Lobstex
OLXA,OLXA
KIT,DexKit
TIK,ChronoBase
NAME,PolkaDomain
QUAI,QUAI DAO
DOGES,Dogeswap
IONC,IONChain
NIFT,Niftify
CRACE,Coinracer
SWT,Swarm City
REM,Remme
DPY,Delphy
ORAO,ORAO Network
KEYFI,KeyFi
MILK2,Spaceswap MILK2
PXG,PlayGame
APY,APY.Finance
CDL,CoinDeal Token
MNC,Moneynet
QUIN,QUINADS
ADB,adbank
ZUM,ZUM TOKEN
INK,Ink
SSTX,Silver Stonks
NIX,NIX
CCN,CustomContractNetwork
FRC,Freicoin
IOC,I/O Coin
VDR,Vodra
BANCA,Banca
XBY,XTRABYTES
MES,MesChain
RENDOGE,renDOGE
AZUKI,Azuki
TONS,Thisoption
SCR,Scorum Coins
ARGON,Argon
WORLD,World Token
WQT,WorkQuest Token
ASPO,ASPO World
L2,Leverj Gluon
MTLX,Mettalex
YF-DAI,YFDAI.FINANCE
UGAS,UGAS
GEO,GeoCoin
PPBLZ,Pepemon Pepeballs
FS,FantomStarter
COIN,Coin Artist
BCPT,Blockmason Credit Protocol
BSTY,GlobalBoost-Y
DRC,Digital Reserve Currency
XLAB,XcelToken Plus
EDC,EDC Blockchain
IHT,IHT Real Estate Protocol
PLA,Plair
ADABOY,ADA BOY
CNB,Coinsbit Token
APN,Apron Network
ION,ION
XIV,Project Inverse
TH,Team Heretics Fan Token
SIG,xSigma
LTHN,Lethean
CAI,Club Atletico Independiente
PHR,Phore
BALPHA,bAlpha
ORB,Orbitcoin
mSLV,Mirrored iShares Silver Trust
ANON,ANON
ALL,Alliance Fan Token
CVR,CoverCompared
DVD,DAOventures
UBN,Ubricoin
NCT,Name Change Token
WELT,Fabwelt
SNOB,Snowball
FOUR,4THPILLAR TECHNOLOGIES
KDG,Kingdom Game 4.0
ETHY,Ethereum Yield
PASS,Blockpass
TOTM,TotemFi
1MT,1Million Token
AC,ACoconut
DMT,DMarket
COFI,CoinFi
UCH,Universidad de Chile Fan Token
BITB,Bean Cash
VEKTOR,VEKTOR
GEO,GeoDB
JAR,Jarvis+
IND,Indorse Token
ATL,ATLANT
ASTRO,AstroTools
DFSG,DFSocial Gaming
NAAL,Ethernaal
SHAKE,Spaceswap SHAKE
BOBO,Bobo Cash
EKT,EDUCare
XCN,Cryptonite
XBP,BlitzPick
VAULT,VAULT
CGT,Curio Governance
DOPE,DopeCoin
XCT,Citadel.one
PTOY,Patientory
CREO,Creo Engine
SS,Sharder
STX,Stox
TANGO,keyTango
BTA,Bata
LEG,Legia Warsaw Fan Token
LMY,LunchMoney
FXT,FuzeX
TCORE,Tornado
ZNZ,ZENZO
YIELD,Yield Protocol
RBT,Robust Token
GMAT,GoWithMi
ENG,Enigma
RMPL,RMPL
NTK,Neurotoken
NETKO,Netko
WCK,Wrapped Basic CryptoKitties
AMA,AMATEN
SHARE,Seigniorage Shares
mUSO,Mirrored United States Oil Fund
LFG,Gamerse
SPD,SPINDLE
INFI,Insured Finance
FDZ,Friendz
QBT,Qbao
XIOT,Xiotri
ARQ,Arqma
X42,x42 Protocol
IOEN,Internet of Energy Network
HEAT,HEAT
PIPT,Power Index Pool Token
mAAPL,Mirrored Apple
PTD,Peseta Digital
KICKS,Sessia
TN,TurtleNetwork
VIVID,Vivid Coin
RINGX,RING X PLATFORM
ALA,Alanyaspor Fan Token
DFS,Defis Network
HQX,HOQU
MOMA,Mochi Market
BITG,Bitcoin Green
NNI,NeoNomad Finance
BCUG,Blockchain Cuties Universe Governance
RVL,REVIVAL
TROLL,Trollcoin
TCS,Timechain Swap Token
mAMZN,Mirrored Amazon
FTI,FansTime
BUNI,Bunicorn
SWING,Swing
BLU,BlueCoin
SHDW,Shadow Token
POSW,PoSW Coin
mTSLA,Mirrored Tesla
EQL,Equal
GMC,GokuMarket Credit
BTR,Bitether
VIPS,Vipstar Coin
NDR,Node Runners
YSEC,Yearn Secure
C20,CRYPTO20
ETZ,Ether Zero
NOR,Noir
BITS,Bitstar
BNF,BonFi
EGEM,EtherGem
ZEBI,Zebi Token
GRG,RigoBlock
STT,StarTerra
L3P,Lepricon
ETHA,ETHA Lend
BBP,BiblePay
DONUT,Donut
BNTY,Bounty0x
ESCE,Escroco Emerald
JADE,Jade Currency
FIC,Filecash
DCTO,Decentralized Crypto Token
2GIVE,2GIVE
2KEY,2key.network
ZUT,Zero Utility Token
UFARM,UniFarm
SAO,Sator
AID,AidCoin
MNC,Maincoin
A,Alpha Token
COLL,Collateral Pay
FAB,Fabric
STKR,StakerDAO
mBABA,Mirrored Alibaba
PVM,PRIVATEUM INITIATIVE
BCV,BitCapitalVendor
MOTA,MotaCoin
EOST,EOS TRUST
ZUM,ZumCoin
AAC,Double-A Chain
NFXC,NFX Coin
CTASK,CryptoTask
SSP,Smartshare
MSR,Masari
IRD,Iridium
TYPH,Typhoon Network
PYRO,PYRO Network
ZORA,Zoracles
JET,Jetcoin
RFI,reflect.finance
BMH,BlockMesh
ZCR,ZCore
ARGO,ArGo
MIB,MIB Coin
TNC,Trinity Network Credit
QWC,Qwertycoin
FLUX,Datamine FLUX
MX,MarsX
SHOE,ShoeFy
TAG,TagCoin
FLX,Felixo Coin
FREED,Freedomcoin
ARCO,AquariusCoin
ZPT,Zeepin
RAGE,Rage Fan
CBM,CryptoBonusMiles
XNV,Nerva
PVT,Pivot Token
BYN,Beyondfi
CATT,Catex Token
MOONS,MoonTools
SND,SnodeCoin
MAX,Maxcoin
RGP,Rigel Protocol
TZC,TrezarCoin
AFEN,AFEN Blockchain
mQQQ,Mirrored Invesco QQQ Trust
WARP,Warp Finance
DZG,Dinamo Zagreb Fan Token
NCC,NeuroChain
HERO,Step Hero
BITTO,BITTO
COB,Cobinhood
ATCC,ATC Coin
YVS,YVS.Finance
ART,Maecenas
LONDON,$LONDON
IOG,Playgroundz
CJ,Cryptojacks
RBIES,Rubies
PYM,Playermon
DTRC,Datarius Credit
ZUKI,Zuki Moba
CNN,Content Neutrality Network
TUBE,BitTube
BART,BarterTrade
GEAR,Bitgear
MTX,Matryx
DOKI,Doki Doki Finance
SPD,Stipend
EXP,Expanse
KUV,Kuverit
NSURE,Nsure.Network
ENT,Eternity
ZXC,0xcert
PKT,Playkey
DLT,Agrello
DINGO,DINGO TOKEN
CUR,Curio
MTHD,Method Finance
IFT,InvestFeed
aWSB,aWSB
KALA,Kalata
MASK,NFTX Hashmasks Index
GBX,GoByte
KFX,KnoxFS (New)
UDOKI,Unicly Doki Doki Collection
NBC,Niobium Coin
LUS,Luna Rush
PIRATE,PirateCash
CTT,Castweet
KWT,Kawaii Islands
NBX,Netbox Coin
EXCL,ExclusiveCoin
DCNTR,Decentrahub Coin
ETG,Ethereum Gold
KIMCHI,KIMCHI.finance
DGC,Digitalcoin
ZET,Zetacoin
SMC,SmartCoin (SMC)
OWN,OWNDATA
DDK,DDKoin
PKG,PKG Token
ALI,AiLink Token
OMC,Ormeus Cash
VIT,Team Vitality Fan Token
PIPL,PiplCoin
DYT,DoYourTip
mNFLX,Mirrored Netflix
SHIELD,Shield Protocol
UP,UpToken
SCONEX,Sportcash One
HEROEGG,HeroFi
NFY,Non-Fungible Yearn
SKB,Sakura Bloom
RITO,Ritocoin
MODX,MODEL-X-coin
XDNA,extraDNA
BBO,Bigbom
WFX,Webflix Token
RASKO,rASKO
BIRD,Birdchain
PGO,PengolinCoin
ISA,Islander
ARATA,Arata
ACA,ACA Token
BERRY,Rentberry
XWP,Swap
FNB,FNB Protocol
PHX,Phoenix Token
LOCK,Meridian Network
EVIL,Evil Coin
SFUEL,SparkPoint Fuel
GFX,GamyFi Platform
INSN,InsaneCoin
AMM,MicroMoney
SMTY,Smoothy
EVE,Devery
KURT,Kurrent
INVE,InterValue
GLT,GlobalToken
BREW,CafeSwap Token
CORGIB,The Corgi of PolkaBridge
mMSFT,Mirrored Microsoft
MNTT,MoonTrust
NOV,Novara Calcio Fan Token
LMT,Lympo Market Token
SVX,Savix
SACT,srnArt Gallery
FONT,Font
XLR,Solaris
TSL,Energo
ETHO,Etho Protocol
SHMN,StrongHands Masternode
AUX,Auxilium
HSC,HashCoin
PEG,PegNet
RTE,Rate3
VOX,Vox.Finance
IG,IGToken
RPZX,Rapidz
ACAT,Alphacat
GUM,Gourmet Galaxy
MEC,Megacoin
mTWTR,Mirrored Twitter
ESH,Switch
ENTRC,EnterCoin
SENC,Sentinel Chain
GTM,Gentarium
DDL,DeFi Degen Land
EGG,Goose Finance
ASAFE,AllSafe
INN,Innova
TRL,Triall
LLG,Lucid Lands
ZSC,Zeusshield
LHT,LHT
CHONK,Chonk
PRARE,POLKARARE
DEM,Deutsche eMark
USDX,USDX [Lighthouse]
WOWS,Wolves of Wall Street
UPX,uPlexa
BDS,Big Digital Shares
BBK,Bitblocks
CLX,Celeum
GOT,GoNetwork
FMTA,Fundamenta
SKIN,SkinCoin
FLOT,Fire Lotto
CHI,Chi Gastoken
SNN,SeChain
MOJO,MojoCoin
MMO,MMOCoin
BTZC,BeatzCoin
FIRE,Fireball
XSH,SHIELD
ZUC,ZeuxCoin
SNRG,Synergy
GEM,Gems 
CREDIT,CREDIT
PAYB,Paybswap
ONG,SoMee.Social [OLD]
ATB,ATBCoin
TBX,Tokenbox
POE,Po.et
SCL,Sociall
ITL,Italian Lira
NVC,Novacoin
COGI,9D NFT
TEND,Tendies
TAN,Taklimakan Network
COSM,Cosmo Coin
DML,Decentralized Machine Learning
VAL,SORA Validator Token
ROAD,Yellow Road
OPAL,Opal
VRC,VeriCoin
KFT,Knit Finance
WCO,Winco
XAS,Asch
SIMP,SIMP Token
INX,Insight Protocol
RUP,Rupee
LIT,Lition
IQ,IQ.cash
QRT,Qrkita Token
BC,Bitcoin Confidential
LUX,LUXCoin
ROUSH,Roush Fenway Racing Fan Token
yTSLA,yTSLA Finance
EVC,EventChain
LEV,Levante U.D. Fan Token
SKYRIM,Skyrim Finance
XGT,Xion Finance
BUNNY,Pancake Bunny
YI12,Yield Stake Finance
HOR,Horde
DAM,Datamine
MAS,MidasProtocol
NASH,NeoWorld Cash
MBN,Membrana
AXE,Axe
RNBW,HaloDAO
UNIFY,Unify
SWIFT,SwiftCash
DINO,DinoExchange
CHEESE,Cheesecoin
BTW,BitWhite
MEL,MELX
PNT,Penta
SAMU,Samusky
ECO,Ormeus Ecosystem
CHART,ChartEx
DAY,Chronologic
RBT,Rimbit
EKO,EchoLink
KOMBAT,Crypto Kombat
PRIX,Privatix
CYMT,CyberMusic
YOC,Yocoin
ELY,Elysian
NEVA,NevaCoin
LAND,Landbox
OPEN,Open Governance Token
CORX,CorionX
PHT,Phoneum
LCP,Litecoin Plus
ERO,Eroscoin
TRUST,TrustDAO
CNRG,CryptoEnergy
CROAT,CROAT
BITX,BitScreener Token
BLTG,Block-Logic
BDP,BidiPass
SCHO,Scholarship Coin
STEEP,SteepCoin
PLAT,BitGuild PLAT
FOR,Fortuna Sittard Fan Token
XPT,Cryptobuyer
CSTL,Castle
MBONK,megaBONK
WAB,WABnetwork
TDP,TrueDeck
KSEED,Kush Finance
KWS,Knight War - The Holy Trio
ARCT,ArbitrageCT
EVY,EveryCoin 
DBET,DecentBet
MCC,MultiCoinCasino
UCM,Unicly Chris McCann Collection
NSD,Nasdacoin
UNIT,Universal Currency
ORMEUS,Ormeus Coin
WCC,WinCash
TM2,TRAXIA
MYB,MyBit
TPAY,TokenPay
COVA,COVA
ADZ,Adzcoin
PLURA,PluraCoin
WRC,Worldcore
RVT,Rivetz
2LC,2local
XPY,PayCoin
FBN,Fivebalance
POST,PostCoin
AIX,Aigang
FEX,FidexToken
GCC,GuccioneCoin
WSPP,Wolf Safe Poor People (Polygon)
OPT,Opus
YAXIS,yAxis
BSCV,BSCView
EVN,EvenCoin
ADI,Aditus
YTN,YENTEN
NUTS,Squirrel Finance
BITC,BitCash
$ROPE,Rope
GRFT,Graft
ALP,CoinAlpha
TNS,Transcodium
AXIS,Axis DeFi
CATE,Cash Tech
BTRN,Biotron
XPA,XPA
ARION,Arion
VOT,VoteCoin
TGAME,Truegame
BURN,Blockburn
